GameID;Date;Side;Win/Lose;Player;Lane;Hero;Ban Hero;Spell;Team;Opponent;Skor Game;Kill;Death;Assist;Duration;Map;Stage
MSC26_GA_M04_G2;22/07/2026;Blue;Lose;Roy;Midlane;Lylia;Marcel;Purify;IGNITE Gaming;Team Spirit;0 - 2;0;4;10;22:42;Flying Clouds;Group A
MSC26_GA_M04_G2;22/07/2026;Blue;Lose;CS;Goldlane;Brody;Minotaur;Flicker;IGNITE Gaming;Team Spirit;0 - 2;5;4;2;22:42;Flying Clouds;Group A
MSC26_GA_M04_G2;22/07/2026;Blue;Lose;Jayy;Roamer;Gloo;Arlott;Flicker;IGNITE Gaming;Team Spirit;0 - 2;0;5;10;22:42;Flying Clouds;Group A
MSC26_GA_M05_G1;24/07/2026;Red;Lose;Rehansyah;Explane;Belerick;Hirara;Flicker;True Rippers;Guangzhou Gaming;0 - 1;1;5;3;12:22;Flying Clouds;Group A
MSC26_GA_M05_G1;24/07/2026;Red;Lose;IYanZz;Jungler;Ling;Freya;Retribution;True Rippers;Guangzhou Gaming;0 - 1;5;4;1;12:22;Flying Clouds;Group A
MSC26_GA_M05_G1;24/07/2026;Red;Lose;Asuna;Midlane;Valentina;Claude;Purify;True Rippers;Guangzhou Gaming;0 - 1;1;2;4;12:22;Flying Clouds;Group A
MSC26_GA_M05_G1;24/07/2026;Red;Lose;Garcia;Goldlane;Paquito;Guinevere;Flicker;True Rippers;Guangzhou Gaming;0 - 1;0;3;2;12:22;Flying Clouds;Group A
MSC26_GA_M05_G1;24/07/2026;Red;Lose;Kimyy;Roamer;Badang;Esmeralda;Flicker;True Rippers;Guangzhou Gaming;0 - 1;0;5;4;12:22;Flying Clouds;Group A
MSC26_GA_M05_G1;24/07/2026;Blue;Win;Modi;Explane;Yu Zhong;Yi Sunshin;Petrify;Guangzhou Gaming;True Rippers;1 - 0;7;2;4;12:22;Flying Clouds;Group A
MSC26_GA_M05_G1;24/07/2026;Blue;Win;ReCall;Jungler;Saber;Phoveus;Retribution;Guangzhou Gaming;True Rippers;1 - 0;5;2;10;12:22;Flying Clouds;Group A
MSC26_GA_M05_G1;24/07/2026;Blue;Win;Xying;Midlane;Eudora;Marcel;Flicker;Guangzhou Gaming;True Rippers;1 - 0;4;1;9;12:22;Flying Clouds;Group A
MSC26_GA_M05_G1;24/07/2026;Blue;Win;Cy;Goldlane;Moskov;Alice;Purify;Guangzhou Gaming;True Rippers;1 - 0;2;0;11;12:22;Flying Clouds;Group A
MSC26_GA_M05_G1;24/07/2026;Blue;Win;Meii;Roamer;Atlas;Uranus;Flicker;Guangzhou Gaming;True Rippers;1 - 0;1;1;11;12:22;Flying Clouds;Group A
MSC26_GA_M05_G2;24/07/2026;Red;Lose;Rehansyah;Explane;Uranus;Hirara;Purify;True Rippers;Guangzhou Gaming;0 - 2;2;1;10;17:04;Broken Walls;Group A
MSC26_GA_M05_G2;24/07/2026;Red;Lose;IYanZz;Jungler;Harley;Freya;Retribution;True Rippers;Guangzhou Gaming;0 - 2;8;4;6;17:04;Broken Walls;Group A
MSC26_GA_M05_G2;24/07/2026;Red;Lose;Asuna;Midlane;Valentina;Eudora;Flicker;True Rippers;Guangzhou Gaming;0 - 2;4;3;8;17:04;Broken Walls;Group A
MSC26_GA_M05_G2;24/07/2026;Red;Lose;Garcia;Goldlane;Moskov;Saber;Flicker;True Rippers;Guangzhou Gaming;0 - 2;3;2;4;17:04;Broken Walls;Group A
MSC26_GA_M05_G2;24/07/2026;Red;Lose;Kimyy;Roamer;Guinevere;Paquito;Flicker;True Rippers;Guangzhou Gaming;0 - 2;0;4;8;17:04;Broken Walls;Group A
MSC26_GA_M05_G2;24/07/2026;Blue;Win;Modi;Explane;Yu Zhong;Yi Sunshin;Petrify;Guangzhou Gaming;True Rippers;2 - 0;3;5;6;17:04;Broken Walls;Group A
MSC26_GA_M05_G2;24/07/2026;Blue;Win;ReCall;Jungler;Nolan;Ling;Retribution;Guangzhou Gaming;True Rippers;2 - 0;3;2;6;17:04;Broken Walls;Group A
